Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Corynespora cassiicola isolate 1343 NODE_1362_length_2444_cov_54.2091,277,371,54%,3e-71,67.91,2444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMQYB010001313.1?report=genbank&log$=nucltop&blast_rank=89&RID=SVF4UNY7014"",""JAMQYB010001313.1"")"
Corynespora cassiicola strain CC01 Contig14,273,394,66%,3e-70,66.05,1800182,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAEMHE010000014.1?report=genbank&log$=nucltop&blast_rank=90&RID=SVF4UNY7014"",""JAEMHE010000014.1"")"
Corynespora cassiicola isolate CAL-4 NODE_45_length_187542_cov_64.647,265,387,54%,2e-67,67.49,187542,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/VICL01000045"",""VICL01000045.1"")"
Corynespora cassiicola isolate CVa5 NODE_729_length_8747_cov_30.0339,265,387,54%,2e-67,67.49,8747,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/VICK01000729"",""VICK01000729.1"")"
Corynespora cassiicola isolate FlM4 NODE_142_length_103779_cov_57.3271,265,387,54%,2e-67,67.49,103779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMKBH010000142.1?report=genbank&log$=nucltop&blast_rank=93&RID=SVF4UNY7014"",""JAMKBH010000142.1"")"
Ophiosphaerella herpotricha isolate ISCC16F Contig_456,263,263,39%,6e-67,67.67,14311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JALNQK010000456.1?report=genbank&log$=nucltop&blast_rank=94&RID=SVF4UNY7014"",""JALNQK010000456.1"")"
Parastagonospora nodorum strain B2.1b ctg03847,215,215,18%,8e-53,73.22,368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWA01003846"",""QVWA01003846.1"")"
Corynespora cassiicola isolate E139 Contig_3929,215,215,20%,8e-53,72.02,578,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PORH01003928"",""PORH01003928.1"")"
Corynespora cassiicola isolate E55 Contig_2784,215,215,20%,8e-53,72.02,550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PORG01002783"",""PORG01002783.1"")"
Corynespora cassiicola isolate LPO7 Contig_5033,201,201,11%,2e-48,80.09,263,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/PORA01005032"",""PORA01005032.1"")"
Paraphaeosphaeria sporulosa strain DISAAA10515 Scaffold_0223,194,194,12%,3e-46,78.74,13922,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAAQOO010000223.1?report=genbank&log$=nucltop&blast_rank=99&RID=SVF4UNY7014"",""JAAQOO010000223.1"")"
Paraphaeosphaeria sporulosa strain DISAAA10515 Scaffold_0178,186,291,14%,1e-43,75.62,17771,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAAQOO010000178.1?report=genbank&log$=nucltop&blast_rank=100&RID=SVF4UNY7014"",""JAAQOO010000178.1"")"



		


